NoOptC0,NoOptC1,NoOptC2,NoOptC3,NoOptCpp0,NoOptCpp1,NoOptCpp2,NoOptCpp3,OptC0,OptC1,OptC2,OptC3,OptCpp0,OptCpp1,OptCpp2,OptCpp3
63803,44551,23059,34813,208740,30598,34771,23767,46213,9022,5885,6040,112530,9134,5928,5932
62580,43646,34532,34160,209107,30504,34832,34763,46180,9380,5928,5869,180205,9077,5902,5934
63028,43670,34448,34233,209853,47443,34842,34883,46197,8978,5881,5878,179717,9088,5905,5943
62683,43695,34587,34256,208541,47473,34730,34623,46258,9205,5977,5870,179658,9024,5982,5897
63070,43573,34585,34136,209176,47539,34778,34429,46132,8977,5861,5889,180116,9078,5899,5890
63544,43625,34564,34136,208826,47546,34611,34353,46177,9247,5903,5856,180385,9195,5947,5952
63191,43619,35007,34247,208379,47525,34557,35518,46181,9024,5891,5879,179459,9061,5923,5923
62525,44058,34564,34173,208790,47469,34718,34721,46564,8991,5884,5909,180507,9671,5959,5926
62700,43531,34631,34553,209255,47531,34690,34685,46211,9004,5916,5902,178977,9160,5920,5896
62555,43779,23180,34199,209995,47515,34731,34743,46296,9011,5877,5856,179607,9016,5970,5925
62429,43651,22482,34240,208538,47766,34807,34513,46238,9113,5875,5903,179734,9161,5963,5978
62248,43556,23320,34190,208254,47488,34628,34782,46282,9210,5901,6247,179273,9042,5949,5889
63320,43850,22708,34178,208137,47638,34724,35281,29837,8990,5875,5869,180626,9014,5967,5954
62604,43545,34044,34241,132274,47458,34724,34725,30445,9029,5889,5891,179665,9098,5934,5911
62629,43650,34821,34210,130715,47536,34983,34594,30479,8977,5871,5904,179392,9077,5957,5919
62840,43718,34542,34260,133274,47482,34741,34686,29950,9102,5970,5851,179476,9025,5953,5901
62726,43653,34555,34355,131542,47509,34787,34495,29995,9105,5883,5859,179565,9030,5922,5925
62717,43596,34524,34249,130620,47821,34743,34682,29705,9015,5888,5904,180036,9031,5988,5994
62916,43594,34486,34232,130650,47564,34749,34667,29376,9128,5902,5886,179762,9086,5908,5909
63072,43615,34554,34236,132136,47514,34824,34615,29367,9134,5882,5877,179610,9112,6016,6026
40856,43602,34518,34330,133716,47477,24426,34539,30399,8986,5875,5853,179234,9047,4065,5910
62590,43586,34726,34215,131687,47507,34753,34536,29461,8990,5895,5869,180311,9015,4673,5901
62673,43568,34531,34227,131083,47582,34726,34765,29566,9014,5888,5893,178945,9069,4257,5906
62975,43575,34566,34178,130423,47485,34707,34625,30107,8982,5888,5854,180146,9012,4243,5904
62570,43599,34562,34396,208613,47919,34562,34799,30340,9021,5914,5884,179575,9065,3760,5909
62923,43614,34694,34282,208609,30752,34879,34648,46428,8987,5863,5953,181201,9118,4115,5878
62853,43588,34526,34188,209480,30987,34760,34613,46190,8983,5863,5875,179758,9019,4084,5915
62879,43636,34330,34200,208533,30609,34817,34652,46115,8981,5884,5894,179855,9124,4791,4005
63549,28800,34522,34258,208568,31460,34705,34545,46172,8985,5891,5892,180169,9200,3725,4154
62749,28855,34573,34251,208435,31098,34855,34680,46107,9018,5881,5917,179974,9059,4569,4241
62595,28961,34612,34206,131794,30991,34789,34651,46161,9037,5908,5870,179338,9068,4143,4278
62409,28056,34356,34437,131194,30346,34793,34756,46372,9026,5917,5878,179382,9087,4112,3803
62612,28037,34643,34162,130703,31522,34753,34559,46118,9220,5890,5869,180774,9303,5949,4506
62569,28882,34437,34207,208993,30358,34801,34550,46181,9003,5863,5862,179308,9822,5951,4009
62698,28000,34605,34206,208524,47523,34784,34660,46134,9399,5896,5852,134692,9065,5918,4019
63013,28643,34484,34160,131778,47505,34575,34606,46141,5749,5904,5874,112325,9032,5950,6269
63016,28050,34609,34262,130563,47514,34952,34637,46197,6150,5893,5871,112622,9066,5995,5938
62601,28224,34418,34343,130415,47488,35057,34769,46205,6398,5901,5883,112867,9309,5937,5927
62631,43558,34543,22499,131621,47659,34822,34713,46236,6325,5887,5861,115625,9080,5938,6004
63032,43556,34483,22268,130580,47626,34840,34645,46300,5991,5882,5862,112295,9040,5954,5881
62660,43687,34625,22741,209062,47425,34768,34581,46331,5897,5934,5873,112571,9068,5966,6032
62592,43619,34541,22237,208233,47588,34764,34744,46130,8990,5894,6374,112001,9073,5938,5897
63802,43559,34457,34141,208558,47535,34848,34658,46139,8995,5884,5902,179426,9043,5910,5960
62721,43525,34694,34216,209809,47620,34761,34682,46201,9211,5878,6000,178999,9074,5947,5924
62548,43625,34547,34220,209976,30305,34845,34571,46149,9203,5887,5853,179469,9063,6016,5889
63563,43555,34547,34843,208759,32343,34592,34611,46245,9002,5886,5852,179494,9126,5918,5895
63071,43606,34723,34185,209241,31422,34675,34453,46149,8988,5879,5878,142937,9123,5933,6034
62729,43920,35087,34138,210692,31831,34737,34536,46225,9021,5959,5920,112995,9020,5954,5888
62594,43691,34475,34205,209418,47536,34935,34747,46139,9003,5899,5852,112573,9088,5960,5956
62992,43533,34525,34213,209308,47432,34831,34583,46213,8986,6005,5899,114046,9068,5950,5921
62266,43625,34517,34244,208643,47881,34703,34641,46270,9324,5871,5900,179278,9276,5943,5905
62942,43640,34548,34335,210199,47530,34623,34669,46743,8976,5933,5933,179300,9020,6034,5897
62740,43602,34440,34129,208594,47780,34869,34896,46158,9158,5909,5871,179565,9077,5983,5938
62564,43949,34521,34147,208181,47477,36970,34593,46174,9017,5870,5880,179617,9104,5957,5943
62612,43597,34823,34184,208470,47991,34780,34681,46208,8990,5879,5856,179345,9115,5924,5921
62614,43555,22874,34250,208817,47552,34945,34692,46130,9197,5867,5853,182447,9121,5901,5912
62618,43578,22292,34188,210734,47513,34736,34703,46201,9198,5872,4085,180093,9116,5904,5924
63058,44344,34688,34218,186041,47488,34941,34660,46192,9087,5885,4310,180316,9059,5934,6001
62534,43774,34551,34219,130347,47693,34815,34534,46307,8974,5894,4927,179126,9084,5911,5904
62580,43571,34586,34182,130807,47519,34832,34651,46515,8983,5877,4104,180569,9325,5909,5927
62546,43592,34739,34220,131383,47797,34581,34557,46327,8976,5894,3981,112229,9043,5925,5963
63166,43590,34547,34308,130548,47473,34774,34851,29966,9158,5975,3933,113147,9075,5964,5926
63144,28128,34717,34244,208464,47503,34771,34648,29610,9020,5909,5874,113212,9021,5962,5910
62362,27832,34539,34412,208637,47475,34805,34485,46288,9151,6163,5865,112553,9063,5961,5944
62783,28337,34463,34206,208335,47776,34698,34616,46393,6276,5866,5853,112036,9021,5910,5885
62687,29392,34673,34332,178588,47464,34677,35112,46137,6472,5896,5880,112078,9083,5958,5958
